accession,length,expAA,First,PredHel,Topology
AT2G44040.1,len=347,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
AT2G44050.1,len=227,ExpAA=0.13,First60=0.00,PredHel=0,Topology=o
AT2G44060.1,len=325,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT2G44065.1,len=214,ExpAA=0.16,First60=0.05,PredHel=0,Topology=o
AT2G44160.1,len=594,ExpAA=0.10,First60=0.06,PredHel=0,Topology=o
AT2G44450.1,len=506,ExpAA=3.16,First60=2.95,PredHel=0,Topology=o
AT2G44610.1,len=208,ExpAA=0.01,First60=0.01,PredHel=0,Topology=o
AT2G44640.1,len=451,ExpAA=1.38,First60=0.02,PredHel=0,Topology=o
AT2G44690.1,len=209,ExpAA=0.20,First60=0.15,PredHel=0,Topology=o
AT2G44870.1,len=248,ExpAA=45.52,First60=0.00,PredHel=2,Topology=i125-147o157-179i
AT2G45140.1,len=239,ExpAA=21.14,First60=0.00,PredHel=1,Topology=o214-236i
AT2G45170.1,len=122,ExpAA=0.06,First60=0.00,PredHel=0,Topology=o
AT2G45240.1,len=398,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT2G45290.1,len=741,ExpAA=3.36,First60=0.00,PredHel=0,Topology=o
AT2G45300.1,len=520,ExpAA=0.09,First60=0.00,PredHel=0,Topology=o
AT2G45440.1,len=365,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
AT2G45470.1,len=420,ExpAA=26.65,First60=13.43,PredHel=0,Topology=o
AT2G45640.1,len=152,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT2G45790.1,len=246,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
AT2G45820.1,len=190,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT2G45860.1,len=79,ExpAA=0.00,First60=0.00,PredHel=0,Topology=i
AT2G46090.1,len=364,ExpAA=0.10,First60=0.02,PredHel=0,Topology=o
AT2G46280.1,len=328,ExpAA=0.09,First60=0.00,PredHel=0,Topology=o
AT2G46520.1,len=972,ExpAA=0.06,First60=0.01,PredHel=0,Topology=o
AT2G46820.1,len=174,ExpAA=35.18,First60=0.05,PredHel=0,Topology=o
AT2G46890.1,len=322,ExpAA=131.81,First60=33.81,PredHel=6,Topology=i7-26o48-70i77-94o153-175i182-204o260-282i
AT2G46910.1,len=284,ExpAA=0.10,First60=0.02,PredHel=0,Topology=o
AT2G46920.1,len=856,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT2G47000.1,len=1286,ExpAA=234.35,First60=1.64,PredHel=9,Topology=i60-82o109-131i182-201o206-228i288-310o719-741i762-784o855-877i943-965o
AT2G47320.1,len=230,ExpAA=22.46,First60=22.45,PredHel=1,Topology=i22-44o
AT2G47390.1,len=961,ExpAA=0.11,First60=0.01,PredHel=0,Topology=o
AT2G47630.1,len=351,ExpAA=0.02,First60=0.01,PredHel=0,Topology=o
AT2G47680.1,len=1015,ExpAA=0.04,First60=0.00,PredHel=0,Topology=o
AT2G47710.1,len=162,ExpAA=0.05,First60=0.03,PredHel=0,Topology=o
AT2G47800.1,len=1516,ExpAA=350.55,First60=8.31,PredHel=15,Topology=o101-123i136-155o170-192i205-227o329-351i364-386o439-461i463-485o551-573i951-973o988-1010i1065-1087o1092-1114i1178-1200o1215-1237i
AT2G47840.1,len=208,ExpAA=72.03,First60=0.07,PredHel=4,Topology=i61-83o98-120i132-154o169-191i
AT2G47960.1,len=442,ExpAA=0.26,First60=0.00,PredHel=0,Topology=o
AT3G01070.1,len=167,ExpAA=42.45,First60=19.76,PredHel=2,Topology=o4-23i143-165o
AT3G01120.1,len=563,ExpAA=2.32,First60=0.00,PredHel=0,Topology=o
AT3G01280.1,len=276,ExpAA=0.02,First60=0.01,PredHel=0,Topology=o
AT3G01290.1,len=285,ExpAA=0.08,First60=0.08,PredHel=0,Topology=o
AT3G01340.1,len=302,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G01380.1,len=857,ExpAA=308.41,First60=15.16,PredHel=15,Topology=o10-27i344-366o393-410i415-432o452-474i479-501o505-524i531-550o572-594i610-632o647-669i710-732o747-769i782-801o816-838i
AT3G01390.1,len=110,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G01740.1,len=126,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G01780.1,len=1176,ExpAA=0.10,First60=0.00,PredHel=0,Topology=o
AT3G01790.1,len=205,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G01800.1,len=267,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G02080.1,len=143,ExpAA=0.27,First60=0.01,PredHel=0,Topology=o
AT3G02190.1,len=51,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G02200.2,len=417,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G02210.1,len=452,ExpAA=32.48,First60=19.05,PredHel=0,Topology=o
AT3G02230.1,len=357,ExpAA=0.04,First60=0.00,PredHel=0,Topology=o
AT3G02360.2,len=486,ExpAA=0.28,First60=0.11,PredHel=0,Topology=o
AT3G02520.1,len=265,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
AT3G02560.1,len=191,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G02650.1,len=576,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G02740.1,len=488,ExpAA=6.41,First60=2.69,PredHel=0,Topology=o
AT3G02880.1,len=627,ExpAA=54.97,First60=18.37,PredHel=2,Topology=i7-24o253-275i
AT3G03050.1,len=1145,ExpAA=170.31,First60=0.00,PredHel=8,Topology=o290-312i319-338o922-944i957-976o991-1013i1043-1065o1080-1097i1110-1129o
AT3G03220.1,len=266,ExpAA=1.19,First60=0.02,PredHel=0,Topology=o
AT3G03250.1,len=469,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT3G03520.1,len=523,ExpAA=0.01,First60=0.01,PredHel=0,Topology=o
AT3G03560.1,len=521,ExpAA=0.11,First60=0.00,PredHel=0,Topology=o
AT3G03960.1,len=549,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G04090.1,len=240,ExpAA=131.94,First60=38.39,PredHel=6,Topology=i13-35o45-67i87-109o129-151i163-185o205-227i
AT3G04120.1,len=338,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
AT3G04230.1,len=146,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT3G04340.1,len=1320,ExpAA=30.79,First60=0.60,PredHel=0,Topology=o
AT3G04640.1,len=159,ExpAA=1.38,First60=1.28,PredHel=0,Topology=o
AT3G04840.1,len=262,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G04870.1,len=558,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
AT3G04920.1,len=133,ExpAA=0.02,First60=0.00,PredHel=0,Topology=i
AT3G04950.1,len=231,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G05000.1,len=173,ExpAA=0.68,First60=0.10,PredHel=0,Topology=o
AT3G05060.1,len=533,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT3G05070.1,len=144,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G05090.1,len=753,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G05130.1,len=634,ExpAA=17.45,First60=0.00,PredHel=1,Topology=o609-631i
AT3G05230.1,len=167,ExpAA=20.73,First60=20.72,PredHel=1,Topology=o10-29i
AT3G05280.1,len=281,ExpAA=111.00,First60=0.00,PredHel=5,Topology=i127-149o164-186i198-220o225-243i255-277o
AT3G05470.1,len=884,ExpAA=31.53,First60=8.75,PredHel=1,Topology=i158-180o
AT3G05530.1,len=424,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G05560.1,len=124,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G05590.1,len=187,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G06040.1,len=186,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G06060.1,len=326,ExpAA=45.76,First60=24.35,PredHel=1,Topology=i7-29o
AT3G06320.1,len=58,ExpAA=2.91,First60=2.91,PredHel=0,Topology=i
AT3G06580.1,len=496,ExpAA=0.56,First60=0.00,PredHel=0,Topology=o
AT3G06610.1,len=115,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G06700.1,len=61,ExpAA=0.00,First60=0.00,PredHel=0,Topology=i
AT3G06720.1,len=532,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G06730.1,len=183,ExpAA=0.03,First60=0.01,PredHel=0,Topology=o
AT3G06860.1,len=725,ExpAA=18.10,First60=0.28,PredHel=0,Topology=o
AT3G06960.1,len=479,ExpAA=0.30,First60=0.00,PredHel=0,Topology=o
AT3G07030.1,len=405,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G07050.1,len=582,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G07100.1,len=1038,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT3G07160.1,len=1890,ExpAA=332.86,First60=0.02,PredHel=16,Topology=o494-511i524-546o561-580i592-614o659-677i713-735o1458-1480i1511-1533o1538-1560i1598-1620o1630-1652i1699-1721o1731-1753i1766-1788o1793-1815i1836-1858o
AT3G07390.1,len=273,ExpAA=25.84,First60=13.96,PredHel=0,Topology=o
AT3G07410.1,len=217,ExpAA=0.12,First60=0.02,PredHel=0,Topology=o
AT3G07540.1,len=841,ExpAA=49.33,First60=21.90,PredHel=2,Topology=o4-26i101-123o
AT3G07660.1,len=841,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G07720.1,len=329,ExpAA=0.13,First60=0.01,PredHel=0,Topology=o
AT3G08530.1,len=1703,ExpAA=0.26,First60=0.04,PredHel=0,Topology=o
AT3G08590.1,len=560,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT3G08630.1,len=339,ExpAA=48.38,First60=0.01,PredHel=2,Topology=i146-168o211-233i
AT3G08640.1,len=337,ExpAA=48.09,First60=0.00,PredHel=2,Topology=i151-173o214-236i
AT3G08930.1,len=509,ExpAA=213.20,First60=43.36,PredHel=9,Topology=o6-28i40-62o91-113i126-148o207-240i332-354o380-402i423-445o473-495i
AT3G08980.1,len=154,ExpAA=0.02,First60=0.02,PredHel=0,Topology=o
AT3G09050.1,len=258,ExpAA=30.15,First60=0.04,PredHel=0,Topology=o
AT3G09440.1,len=649,ExpAA=0.03,First60=0.01,PredHel=0,Topology=o
AT3G09500.1,len=123,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G09570.1,len=439,ExpAA=147.87,First60=1.84,PredHel=7,Topology=o176-198i203-225o245-267i280-299o314-336i356-378o388-410i
AT3G09630.1,len=406,ExpAA=4.97,First60=0.00,PredHel=0,Topology=o
AT3G09740.1,len=266,ExpAA=20.94,First60=0.00,PredHel=1,Topology=o246-265i
AT3G09840.1,len=809,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G09900.1,len=218,ExpAA=0.11,First60=0.05,PredHel=0,Topology=o
AT3G09980.1,len=178,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G10050.1,len=592,ExpAA=7.65,First60=0.00,PredHel=0,Topology=o
AT3G10090.1,len=64,ExpAA=0.00,First60=0.00,PredHel=0,Topology=i
AT3G10130.1,len=309,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G10380.1,len=1053,ExpAA=0.04,First60=0.00,PredHel=0,Topology=o
AT3G10630.1,len=487,ExpAA=24.22,First60=22.70,PredHel=1,Topology=i12-34o
AT3G10960.1,len=579,ExpAA=195.98,First60=2.19,PredHel=8,Topology=i131-153o181-203i215-232o295-312i383-405o420-442i462-484o510-532i
AT3G11130.1,len=1705,ExpAA=0.29,First60=0.11,PredHel=0,Topology=o
AT3G11170.1,len=446,ExpAA=78.41,First60=0.00,PredHel=3,Topology=o126-148i231-250o275-297i
AT3G11250.1,len=323,ExpAA=6.12,First60=0.00,PredHel=0,Topology=o
AT3G11450.1,len=647,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G11510.1,len=150,ExpAA=0.02,First60=0.02,PredHel=0,Topology=i
AT3G11530.1,len=113,ExpAA=66.03,First60=30.10,PredHel=3,Topology=i7-29o53-75i87-109o
AT3G11560.2,len=872,ExpAA=19.16,First60=0.00,PredHel=1,Topology=o802-824i
AT3G11630.1,len=266,ExpAA=1.22,First60=0.00,PredHel=0,Topology=o
AT3G11710.1,len=626,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT3G11730.1,len=205,ExpAA=0.08,First60=0.08,PredHel=0,Topology=o
AT3G11820.1,len=346,ExpAA=20.48,First60=0.00,PredHel=1,Topology=i286-305o
AT3G11880.1,len=443,ExpAA=13.02,First60=0.00,PredHel=0,Topology=o
AT3G11940.1,len=207,ExpAA=0.04,First60=0.03,PredHel=0,Topology=o
AT3G11964.1,len=1896,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
AT3G12290.1,len=299,ExpAA=1.47,First60=0.00,PredHel=0,Topology=o
AT3G12390.1,len=203,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G12650.1,len=238,ExpAA=65.94,First60=0.00,PredHel=3,Topology=i127-149o159-181i213-235o
AT3G12740.1,len=350,ExpAA=45.93,First60=11.06,PredHel=2,Topology=o50-72i305-327o
AT3G12780.1,len=481,ExpAA=0.04,First60=0.03,PredHel=0,Topology=o
AT3G13070.1,len=661,ExpAA=98.81,First60=0.00,PredHel=4,Topology=o164-186i210-232o237-259i283-305o
AT3G13120.1,len=191,ExpAA=0.01,First60=0.01,PredHel=0,Topology=o
AT3G13150.1,len=551,ExpAA=0.04,First60=0.00,PredHel=0,Topology=o
AT3G13222.1,len=567,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G13290.1,len=1340,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT3G13470.1,len=596,ExpAA=0.04,First60=0.03,PredHel=0,Topology=o
AT3G13560.1,len=505,ExpAA=34.24,First60=19.09,PredHel=1,Topology=i7-29o
AT3G13580.3,len=244,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT3G13750.1,len=847,ExpAA=24.00,First60=22.49,PredHel=1,Topology=i12-34o
AT3G13772.1,len=641,ExpAA=223.35,First60=20.64,PredHel=10,Topology=i7-29o277-299i343-365o375-397i417-436o446-468i500-522o532-554i567-589o609-631i
AT3G14290.1,len=237,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G14600.1,len=178,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G14840.2,len=1020,ExpAA=40.86,First60=20.35,PredHel=2,Topology=i7-29o614-636i
AT3G15000.1,len=395,ExpAA=0.03,First60=0.03,PredHel=0,Topology=o
AT3G15010.1,len=404,ExpAA=0.23,First60=0.00,PredHel=0,Topology=o
AT3G15360.1,len=193,ExpAA=0.86,First60=0.86,PredHel=0,Topology=o
AT3G15380.1,len=700,ExpAA=217.24,First60=21.46,PredHel=10,Topology=i34-56o239-261i268-290o321-343i363-385o424-443i450-469o492-514i596-617o632-654i
AT3G15480.1,len=175,ExpAA=87.65,First60=30.52,PredHel=4,Topology=i5-24o50-72i92-114o141-163i
AT3G15590.1,len=610,ExpAA=0.17,First60=0.00,PredHel=0,Topology=o
AT3G15710.1,len=180,ExpAA=44.51,First60=20.22,PredHel=3,Topology=i19-41o139-156i161-178o
AT3G15730.1,len=810,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT3G16060.1,len=684,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
AT3G16100.1,len=206,ExpAA=0.65,First60=0.65,PredHel=0,Topology=o
AT3G16290.1,len=876,ExpAA=28.06,First60=1.03,PredHel=0,Topology=o
AT3G16620.1,len=1089,ExpAA=0.04,First60=0.00,PredHel=0,Topology=o
AT3G16640.1,len=168,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT3G16780.1,len=209,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G16785.1,len=1096,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G16860.1,len=653,ExpAA=22.28,First60=11.29,PredHel=0,Topology=o
AT3G16940.1,len=845,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
AT3G17000.1,len=309,ExpAA=19.42,First60=0.00,PredHel=1,Topology=i274-291o
AT3G17020.1,len=163,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
AT3G17210.1,len=109,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
AT3G17350.1,len=301,ExpAA=37.74,First60=19.12,PredHel=0,Topology=o
AT3G17390.1,len=393,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G17410.1,len=364,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT3G17420.1,len=467,ExpAA=22.04,First60=22.03,PredHel=1,Topology=i21-40o
AT3G17820.1,len=354,ExpAA=0.13,First60=0.13,PredHel=0,Topology=o
AT3G17840.1,len=647,ExpAA=36.01,First60=12.37,PredHel=1,Topology=o266-288i
AT3G17900.1,len=838,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G17930.1,len=190,ExpAA=42.77,First60=0.01,PredHel=2,Topology=i92-114o124-146i
AT3G17970.1,len=589,ExpAA=18.06,First60=17.61,PredHel=1,Topology=i5-22o
AT3G18000.1,len=491,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT3G18050.1,len=335,ExpAA=17.56,First60=14.54,PredHel=0,Topology=o
AT3G18130.1,len=326,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT3G18165.1,len=253,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G18190.1,len=536,ExpAA=0.10,First60=0.00,PredHel=0,Topology=o
AT3G18215.1,len=244,ExpAA=92.02,First60=22.55,PredHel=4,Topology=i9-31o72-94i121-143o188-210i
AT3G18420.1,len=316,ExpAA=0.70,First60=0.68,PredHel=0,Topology=o
AT3G18490.1,len=500,ExpAA=1.55,First60=1.09,PredHel=0,Topology=o
AT3G18580.1,len=217,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G18740.1,len=112,ExpAA=0.02,First60=0.01,PredHel=0,Topology=i
AT3G18790.1,len=300,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G18820.1,len=206,ExpAA=0.05,First60=0.05,PredHel=0,Topology=o
AT3G18890.1,len=641,ExpAA=0.21,First60=0.00,PredHel=0,Topology=o
AT3G19130.1,len=435,ExpAA=0.03,First60=0.03,PredHel=0,Topology=o
AT3G19300.1,len=663,ExpAA=45.35,First60=21.31,PredHel=2,Topology=i2-24o253-275i
AT3G19420.1,len=611,ExpAA=0.05,First60=0.00,PredHel=0,Topology=o
AT3G19440.1,len=477,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G19490.1,len=576,ExpAA=249.45,First60=0.00,PredHel=8,Topology=o244-266i278-297o319-341i362-384o427-449i462-484o499-521i534-556o
AT3G19760.1,len=408,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G19770.1,len=520,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT3G19820.1,len=561,ExpAA=24.34,First60=22.88,PredHel=1,Topology=i21-43o
AT3G20050.1,len=545,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT3G20100.1,len=513,ExpAA=43.13,First60=19.42,PredHel=2,Topology=o10-27i76-98o
AT3G20240.1,len=348,ExpAA=48.66,First60=0.10,PredHel=2,Topology=o213-235i256-278o
AT3G20410.1,len=541,ExpAA=7.36,First60=0.00,PredHel=0,Topology=o
AT3G20500.1,len=437,ExpAA=15.71,First60=15.57,PredHel=1,Topology=i5-27o
AT3G20520.1,len=729,ExpAA=33.24,First60=20.85,PredHel=1,Topology=i7-29o
AT3G20630.1,len=797,ExpAA=0.04,First60=0.00,PredHel=0,Topology=o
AT3G20800.1,len=316,ExpAA=0.40,First60=0.00,PredHel=0,Topology=o
AT3G20960.1,len=418,ExpAA=2.94,First60=0.46,PredHel=0,Topology=o
AT3G21140.1,len=387,ExpAA=0.04,First60=0.00,PredHel=0,Topology=o
AT3G21190.1,len=422,ExpAA=17.28,First60=17.26,PredHel=1,Topology=i7-26o
AT3G21215.1,len=339,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G22110.1,len=250,ExpAA=1.26,First60=0.16,PredHel=0,Topology=o
AT3G22190.1,len=422,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G22230.1,len=135,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G22290.1,len=354,ExpAA=41.28,First60=21.31,PredHel=2,Topology=o28-50i313-335o
AT3G22300.1,len=241,ExpAA=0.02,First60=0.02,PredHel=0,Topology=o
AT3G22330.1,len=616,ExpAA=0.08,First60=0.07,PredHel=0,Topology=o
AT3G22660.1,len=293,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G22850.1,len=248,ExpAA=0.55,First60=0.54,PredHel=0,Topology=o
AT3G22890.1,len=463,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G22950.1,len=183,ExpAA=0.01,First60=0.01,PredHel=0,Topology=o
AT3G22960.1,len=596,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
AT3G23150.1,len=773,ExpAA=86.30,First60=26.48,PredHel=4,Topology=o5-27i56-73o83-105i118-140o
AT3G23400.1,len=284,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G23490.1,len=168,ExpAA=0.02,First60=0.02,PredHel=0,Topology=o
AT3G23710.1,len=313,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT3G23750.1,len=928,ExpAA=39.45,First60=15.16,PredHel=2,Topology=i7-24o473-495i
AT3G24170.1,len=499,ExpAA=0.31,First60=0.01,PredHel=0,Topology=o
AT3G24180.1,len=950,ExpAA=1.09,First60=0.00,PredHel=0,Topology=o
AT3G24315.1,len=293,ExpAA=21.31,First60=0.00,PredHel=1,Topology=o212-234i
AT3G24480.1,len=494,ExpAA=19.70,First60=19.67,PredHel=1,Topology=i9-28o
AT3G24550.1,len=652,ExpAA=34.05,First60=0.00,PredHel=1,Topology=o139-161i
AT3G24590.1,len=291,ExpAA=0.47,First60=0.00,PredHel=0,Topology=o
AT3G24660.1,len=674,ExpAA=34.90,First60=12.30,PredHel=1,Topology=o301-323i
AT3G24830.1,len=206,ExpAA=0.01,First60=0.01,PredHel=0,Topology=o
AT3G25040.1,len=215,ExpAA=112.30,First60=16.03,PredHel=5,Topology=o55-77i94-111o121-140i153-170o180-202i
AT3G25070.1,len=211,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G25290.1,len=393,ExpAA=131.29,First60=16.76,PredHel=6,Topology=o5-24i220-242o252-274i286-308o323-345i358-380o
AT3G25480.1,len=264,ExpAA=22.79,First60=0.24,PredHel=1,Topology=o93-115i
AT3G25500.1,len=1051,ExpAA=34.32,First60=7.16,PredHel=1,Topology=i108-130o
AT3G25530.1,len=289,ExpAA=0.06,First60=0.03,PredHel=0,Topology=o
AT3G25585.2,len=389,ExpAA=170.45,First60=14.73,PredHel=7,Topology=o49-68i142-161o215-237i250-272o287-309i321-338o348-370i
AT3G25610.1,len=1202,ExpAA=194.17,First60=0.00,PredHel=8,Topology=i304-326o360-382i924-946o956-975i1005-1022o1045-1067i1074-1096o1111-1133i
AT3G25780.1,len=258,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
AT3G25800.1,len=587,ExpAA=0.15,First60=0.00,PredHel=0,Topology=o
AT3G25860.1,len=480,ExpAA=0.21,First60=0.00,PredHel=0,Topology=o
AT3G25920.1,len=277,ExpAA=0.05,First60=0.01,PredHel=0,Topology=o
AT3G26070.1,len=242,ExpAA=0.01,First60=0.01,PredHel=0,Topology=o
AT3G26080.1,len=234,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G26360.1,len=101,ExpAA=0.00,First60=0.00,PredHel=0,Topology=i
AT3G26420.1,len=245,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G26520.1,len=253,ExpAA=147.62,First60=25.42,PredHel=7,Topology=i21-43o58-80i87-109o114-136i143-165o175-197i218-240o
AT3G26560.1,len=1168,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT3G26580.1,len=350,ExpAA=19.14,First60=0.01,PredHel=1,Topology=o330-348i
AT3G26650.1,len=396,ExpAA=0.15,First60=0.00,PredHel=0,Topology=o
AT3G26700.1,len=380,ExpAA=23.18,First60=23.05,PredHel=1,Topology=i5-27o
AT3G26710.1,len=267,ExpAA=76.81,First60=12.34,PredHel=3,Topology=o83-105i165-187o192-209i
AT3G26840.1,len=701,ExpAA=0.09,First60=0.01,PredHel=0,Topology=o
AT3G26935.1,len=443,ExpAA=89.58,First60=17.77,PredHel=4,Topology=o44-63i75-97o194-216i237-259o
AT3G26980.1,len=120,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G27220.1,len=426,ExpAA=23.37,First60=23.27,PredHel=1,Topology=i21-43o
AT3G27300.1,len=516,ExpAA=0.02,First60=0.02,PredHel=0,Topology=o
AT3G27390.1,len=588,ExpAA=135.63,First60=41.77,PredHel=6,Topology=o20-42i49-67o87-109i181-203o241-263i275-292o
AT3G27400.1,len=412,ExpAA=17.78,First60=17.76,PredHel=1,Topology=i7-29o
AT3G27550.1,len=491,ExpAA=0.49,First60=0.00,PredHel=0,Topology=o
AT3G27740.1,len=430,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT3G28450.1,len=605,ExpAA=40.46,First60=15.46,PredHel=2,Topology=i12-29o230-252i
AT3G28670.1,len=491,ExpAA=32.30,First60=0.03,PredHel=1,Topology=i466-488o
AT3G28710.1,len=351,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT3G28715.1,len=351,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
AT3G28720.1,len=687,ExpAA=39.90,First60=19.59,PredHel=2,Topology=i7-29o654-673i
AT3G28930.1,len=170,ExpAA=1.72,First60=1.72,PredHel=0,Topology=o
AT3G28940.1,len=169,ExpAA=0.18,First60=0.18,PredHel=0,Topology=o
AT3G29360.1,len=480,ExpAA=0.45,First60=0.45,PredHel=0,Topology=o
AT3G29810.1,len=441,ExpAA=23.41,First60=4.68,PredHel=1,Topology=o422-440i
AT3G30300.1,len=677,ExpAA=22.68,First60=22.43,PredHel=1,Topology=i13-35o
AT3G30775.1,len=499,ExpAA=1.76,First60=0.31,PredHel=0,Topology=o
AT3G32930.1,len=249,ExpAA=0.21,First60=0.00,PredHel=0,Topology=o
AT3G42050.1,len=441,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
AT3G42860.1,len=372,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
AT3G43190.1,len=808,ExpAA=0.07,First60=0.00,PredHel=0,Topology=o
AT3G43520.1,len=240,ExpAA=77.59,First60=0.00,PredHel=4,Topology=o140-157i164-183o187-209i214-236o
AT3G43600.1,len=1321,ExpAA=0.05,First60=0.00,PredHel=0,Topology=o
AT3G43980.1,len=56,ExpAA=0.00,First60=0.00,PredHel=0,Topology=i
AT3G44020.1,len=159,ExpAA=25.80,First60=1.79,PredHel=1,Topology=o82-101i
AT3G44100.1,len=152,ExpAA=18.26,First60=17.90,PredHel=1,Topology=i7-29o
AT3G44150.1,len=246,ExpAA=36.60,First60=15.67,PredHel=0,Topology=o
AT3G44190.1,len=367,ExpAA=2.32,First60=2.23,PredHel=0,Topology=o
AT3G44300.1,len=339,ExpAA=0.11,First60=0.02,PredHel=0,Topology=o
